face_req_time,face_end_time,face_dow_thrp,iter_id,sid,fid,face_br,face_size,face_ini_weight,face_late
23523.58,23686.13,5947.96,0,43,24,24,200,200.00,20.00
23686.38,24289.06,5790.41,0,44,32,0,3000,3000.00,20.00
24589.89,24634.09,19380.78,0,45,25,2,400,400.00,20.00
24590.03,24654.90,19331.14,0,45,25,4,400,400.00,20.00
24590.15,24675.47,19506.49,0,45,25,10,400,400.00,20.00
24590.29,24716.53,9760.14,0,45,25,16,400,400.00,20.00
24590.42,24737.19,19444.85,0,45,25,21,400,400.00,20.00
24590.55,24777.31,9988.51,0,45,25,22,400,400.00,20.00
24590.71,24895.83,3377.01,0,45,25,23,400,400.00,20.00
24590.85,24933.78,10568.87,0,45,25,24,400,400.00,20.00
24934.00,25536.83,5744.76,0,46,33,0,3000,3000.00,20.00
25537.22,25668.98,6652.59,0,47,26,2,400,400.00,20.00
25537.31,25723.66,7330.17,0,47,26,4,400,400.00,20.00
25537.41,25787.68,6259.29,0,47,26,10,400,400.00,20.00
25537.50,25906.17,3377.98,0,47,26,16,400,400.00,20.00
25537.60,25960.83,7327.75,0,47,26,21,400,400.00,20.00
25537.69,26024.88,6251.76,0,47,26,22,400,400.00,20.00
25537.78,26143.68,3368.79,0,47,26,23,400,400.00,20.00
25537.88,26181.64,10558.27,0,47,26,24,400,400.00,20.00
26181.84,26784.67,5744.45,0,48,34,0,3000,3000.00,20.00
26785.03,27387.65,5635.40,0,49,35,0,3000,3000.00,20.00
27388.04,27449.90,1273885.35,0,50,27,1,200,200.00,20.00
27388.15,27506.80,3519.33,1,50,27,2,200,200.00,20.00
27388.25,27567.61,3293.32,1,50,27,3,200,200.00,20.00
27388.35,27567.88,1052631.58,1,50,27,4,200,200.00,20.00
27388.45,27625.39,3481.77,1,50,27,10,200,200.00,20.00
27388.56,27686.26,3290.61,1,50,27,12,200,200.00,20.00
27388.66,27686.58,877192.98,1,50,27,16,200,200.00,20.00
27388.76,27744.09,3483.29,1,50,27,21,200,200.00,20.00
27388.86,27765.00,9631.59,1,50,27,23,200,200.00,20.00
27765.38,28364.07,5370.25,0,51,36,0,3000,3000.00,20.00
28364.40,28436.69,1694915.25,0,52,28,1,200,200.00,20.00
28364.48,28436.92,1176470.59,0,52,28,2,200,200.00,20.00
28364.56,28526.20,2555.22,1,52,28,3,200,200.00,20.00
28364.65,28526.47,1123595.51,1,52,28,4,200,200.00,20.00
28364.73,28579.71,3760.53,1,52,28,14,200,200.00,20.00
28364.82,28645.07,3064.38,1,52,28,16,200,200.00,20.00
28364.87,28645.31,1190476.19,1,52,28,21,200,200.00,20.00
28364.96,28677.65,6197.51,1,52,28,23,200,200.00,20.00
28677.89,29280.65,5804.71,0,53,37,0,3000,3000.00,20.00
29280.99,29358.96,900900.90,0,54,29,1,200,200.00,20.00
29281.07,29412.94,3713.40,0,54,29,2,200,200.00,20.00
29281.14,29413.24,1010101.01,0,54,29,3,200,200.00,20.00
29281.22,29467.58,3685.01,0,54,29,4,200,200.00,20.00
29281.30,29531.72,3122.95,1,54,29,10,200,200.00,20.00
29281.37,29532.02,1047120.42,1,54,29,12,200,200.00,20.00
29281.45,29586.29,3690.99,1,54,29,21,200,200.00,20.00
29281.53,29606.92,9740.42,1,54,29,23,200,200.00,20.00
29607.26,30206.79,5979.96,0,55,38,0,3000,3000.00,20.00
30207.17,30299.93,1041666.67,0,56,30,2,200,200.00,20.00
30207.24,30300.24,900900.90,0,56,30,4,200,200.00,20.00
30207.32,30352.26,4656.04,0,56,30,9,200,200.00,20.00
30207.39,30417.49,3071.16,0,56,30,10,200,200.00,20.00
30207.46,30417.94,615384.62,0,56,30,21,200,200.00,20.00
30207.53,30470.96,3779.86,0,56,30,22,200,200.00,20.00
30207.60,30529.63,3415.88,1,56,30,23,200,200.00,20.00
30207.68,30529.89,1098901.10,1,56,30,24,200,200.00,20.00
30530.17,30591.68,1360544.22,0,57,31,2,200,200.00,20.00
30530.26,30648.83,3504.59,0,57,31,4,200,200.00,20.00
30530.33,30709.29,3312.79,0,57,31,9,200,200.00,20.00
30530.41,30709.52,1219512.20,0,57,31,10,200,200.00,20.00
30530.49,30767.46,3455.84,0,57,31,21,200,200.00,20.00
30530.56,30827.94,3311.20,0,57,31,22,200,200.00,20.00
30530.64,30828.20,1081081.08,0,57,31,23,200,200.00,20.00
30530.74,30852.79,8155.61,0,57,31,24,200,200.00,20.00
31554.00,31578.07,938967.14,0,58,32,5,200,200.00,20.00
31554.14,31578.47,694444.44,0,58,32,7,200,200.00,20.00
31554.27,31599.22,9687.11,0,58,32,9,200,200.00,20.00
31554.40,31619.93,9693.68,0,58,32,10,200,200.00,20.00
31554.52,31620.22,995024.88,0,58,32,15,200,200.00,20.00
31554.65,31640.84,9731.41,0,58,32,21,200,200.00,20.00
31554.80,31661.47,9726.21,0,58,32,22,200,200.00,20.00
31554.93,31661.75,1020408.16,0,58,32,23,200,200.00,20.00
31555.06,31682.23,9800.56,0,58,32,24,200,200.00,20.00
32583.64,32607.98,1223241.59,0,59,33,5,400,400.00,20.00
32583.80,32649.13,9750.87,0,59,33,6,400,400.00,20.00
32583.96,32669.82,19429.74,0,59,33,7,400,400.00,20.00
32584.11,32690.45,19464.72,0,59,33,8,400,400.00,20.00
32584.26,32731.32,9805.84,0,59,33,9,400,400.00,20.00
32584.42,32751.98,19425.96,0,59,33,11,400,400.00,20.00
32584.57,32793.04,9766.10,0,59,33,22,400,400.00,20.00
32584.72,32813.75,19417.48,0,59,33,24,400,400.00,20.00
33515.06,33539.34,1215805.47,0,60,34,5,400,400.00,20.00
33515.21,33580.55,9734.97,0,60,34,6,400,400.00,20.00
33515.36,33601.23,19428.79,0,60,34,7,400,400.00,20.00
33515.50,33621.89,19426.91,0,60,34,8,400,400.00,20.00
33515.65,33662.74,9809.93,0,60,34,9,400,400.00,20.00
33515.79,33683.31,19509.34,0,60,34,15,400,400.00,20.00
33515.93,33703.82,19565.64,0,60,34,22,400,400.00,20.00
33516.07,33744.68,9804.40,0,60,34,24,400,400.00,20.00
34546.06,34570.35,1133144.48,0,61,35,5,400,400.00,20.00
34546.22,34611.44,9764.67,0,61,35,6,400,400.00,20.00
34546.36,34632.15,19377.97,0,61,35,7,400,400.00,20.00
34546.50,34652.80,19438.24,0,61,35,8,400,400.00,20.00
34546.65,34693.74,9788.81,0,61,35,11,400,400.00,20.00
34546.84,34714.41,19431.62,0,61,35,13,400,400.00,20.00
34546.99,34734.97,19526.48,0,61,35,17,400,400.00,20.00
34547.14,34775.86,9794.08,0,61,35,19,400,400.00,20.00
35577.17,35601.60,1023017.90,0,62,36,5,400,400.00,20.00
35577.35,35642.94,9711.80,0,62,36,6,400,400.00,20.00
35577.50,35663.66,19415.59,0,62,36,7,400,400.00,20.00
35577.65,35684.29,19490.33,0,62,36,8,400,400.00,20.00
35577.79,35725.27,9777.32,0,62,36,9,400,400.00,20.00
35577.93,35745.88,19488.43,0,62,36,15,400,400.00,20.00
35578.07,35766.53,19452.41,0,62,36,22,400,400.00,20.00
35578.21,35807.47,9788.09,0,62,36,24,400,400.00,20.00
36508.63,36533.28,1139601.14,0,63,37,5,400,400.00,20.00
36508.78,36554.29,19154.34,0,63,37,7,400,400.00,20.00
36508.92,36575.12,19311.54,0,63,37,9,400,400.00,20.00
36509.05,36595.85,19379.84,0,63,37,10,400,400.00,20.00
36509.18,36616.47,19481.78,0,63,37,15,400,400.00,20.00
36509.31,36637.04,19516.00,0,63,37,21,400,400.00,20.00
36509.45,36678.02,9781.15,0,63,37,22,400,400.00,20.00
36509.58,36698.67,19455.25,0,63,37,23,400,400.00,20.00
36509.72,36719.49,19320.87,0,63,37,24,400,400.00,20.00
37520.77,37565.05,19278.97,0,64,38,2,400,400.00,20.00
37520.90,37586.10,19136.92,0,64,38,4,400,400.00,20.00
37521.03,37627.25,9752.77,0,64,38,15,400,400.00,20.00
